location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Monterrey, Nuevo León",26000,24480.447012153643,6.207210951221415,False,False,66.0,1.0,2.0,0,0,Monterrey
"Monterrey, Nuevo León",27000,26936.493135769277,0.23576515291217254,False,False,86.0,1.0,1.0,1,1,Monterrey
"Tecnológico, Monterrey",11800,13708.397738004964,-13.92137706009324,False,False,45.0,1.0,1.0,1,1,Tecnológico
"Centro, Monterrey",18000,19273.490240756113,-6.607470804966943,False,False,35.0,1.0,1.0,1,1,Centro
"Colinas de San Jerónimo, Monterrey",27500,27968.48590451205,-1.6750492182934764,False,False,145.0,2.0,2.0,1,0,Colinas de San Jerónimo
"Centro, Monterrey",25000,25092.29358268586,-0.3678164468374607,False,False,84.0,2.0,1.0,1,1,Centro
"Centro, Monterrey",21000,20553.984483219265,2.169971068844935,False,False,48.0,2.0,1.0,0,1,Centro
"Rincón de las Colinas, Monterrey",25000,24891.732972119025,0.4349517488486777,False,False,90.0,2.0,2.0,1,1,Rincón de las Colinas
"Cumbres Quinta Real, Monterrey",10000,12044.339178937824,-16.97344410985038,False,False,38.0,1.0,,0,1,Cumbres Quinta Real
"Centro, Monterrey",21000,20478.47304520776,2.5467082122818927,False,False,50.0,1.0,1.0,1,0,Centro
"Urdiales, Monterrey",12000,11394.760783109441,5.311557025292805,False,False,90.0,2.0,1.0,0,0,Urdiales
"Lomas de Valle Alto, Monterrey",34000,40546.512452811156,-16.14568567501365,False,False,84.0,2.0,2.0,0,0,Lomas de Valle Alto
"Centro, Monterrey",24100,24779.7510138139,-2.7431712830163693,False,False,91.0,1.0,1.0,1,0,Centro
"Contry Tesoro, Monterrey",22000,21798.576054987083,0.9240234064134446,False,False,54.0,1.0,1.0,0,1,Contry Tesoro
"Real de Cumbres 1er Sector, Monterrey",40000,40378.08672382814,-0.9363661196086934,False,False,200.0,3.0,2.0,0,0,Real de Cumbres 1er Sector
"Centro, Monterrey",32900,31314.49222001664,5.063175761700143,False,False,67.0,2.0,2.0,1,1,Centro
"Vista Hermosa, Monterrey",20000,20090.062642596247,-0.4482944836881229,False,False,50.0,1.0,1.0,1,1,Vista Hermosa
"Ladrillera, Monterrey",39700,40689.63561315535,-2.4321564895886874,False,False,135.0,2.0,2.0,1,0,Ladrillera
"Monterrey, Nuevo León",19000,21559.14591765096,-11.870349258853196,False,False,80.0,2.0,2.0,0,1,Monterrey
